frameId;frame_main;frame_calib;frame_above;swimmerId;swimmerName;eventX;eventY;event;anno_type;custom_event;Temps (s);distance (m)
520;85;520;520;0;A;55.735;15.4939;track;interp;;8.68;55.735
521;86;521;521;0;A;55.735;15.4939;track;interp;;8.69;55.735
522;87;522;522;0;A;55.735;15.4939;track;interp;;8.71;55.735
523;88;523;523;0;A;55.735;15.4939;track;interp;;8.73;55.735
524;89;524;524;0;A;55.735;15.4939;track;interp;;8.74;55.735
525;90;525;525;0;A;55.7862;15.486;track;interp;;8.76;55.7862
526;91;526;526;0;A;55.7862;15.486;track;interp;;8.78;55.7862
527;92;527;527;0;A;55.7862;15.486;track;interp;;8.79;55.7862
528;93;528;528;0;A;55.7862;15.486;track;interp;;8.81;55.7862
529;94;529;529;0;A;55.7862;15.486;track;interp;;8.83;55.7862
530;95;530;530;0;A;55.7862;15.486;track;interp;;8.84;55.7862
531;96;531;531;0;A;55.7862;15.486;track;interp;;8.86;55.7862
532;97;532;532;0;A;55.6189;15.3786;track;interp;;8.88;55.6189
533;98;533;533;0;A;55.6189;15.3786;track;interp;;8.89;55.6189
534;99;534;534;0;A;55.6189;15.3786;track;interp;;8.91;55.6189
535;100;535;535;0;A;55.6189;15.3786;track;interp;;8.93;55.6189
536;101;536;536;0;A;55.6189;15.3786;track;interp;;8.94;55.6189
537;102;537;537;0;A;55.6189;15.3786;track;interp;;8.96;55.6189
538;103;538;538;0;A;55.6189;15.3786;track;interp;;8.98;55.6189
539;104;539;539;0;A;55.6189;15.3786;track;interp;;8.99;55.6189
540;105;540;540;0;A;55.6189;15.3786;track;interp;;9.01;55.6189
541;106;541;541;0;A;55.6189;15.3786;track;interp;;9.03;55.6189
542;107;542;542;0;A;55.6189;15.3786;track;interp;;9.04;55.6189
543;108;543;543;0;A;55.6189;15.3786;track;interp;;9.06;55.6189
544;109;544;544;0;A;55.6189;15.3786;track;interp;;9.08;55.6189
545;110;545;545;0;A;55.6189;15.3786;track;interp;;9.09;55.6189
546;111;546;546;0;A;55.6189;15.3786;track;interp;;9.11;55.6189
547;112;547;547;0;A;55.6189;15.3786;track;interp;;9.13;55.6189
548;113;548;548;0;A;55.4526;15.2719;track;interp;;9.14;55.4526
549;114;549;549;0;A;55.4526;15.2719;track;interp;;9.16;55.4526
550;115;550;550;0;A;55.4526;15.2719;track;interp;;9.18;55.4526
551;116;551;551;0;A;55.4526;15.2719;track;interp;;9.19;55.4526
552;117;552;552;0;A;55.4526;15.2719;track;interp;;9.21;55.4526
553;118;553;553;0;A;55.4526;15.2719;track;interp;;9.23;55.4526
554;119;554;554;0;A;55.4526;15.2719;track;interp;;9.24;55.4526
555;120;555;555;0;A;55.5035;15.264;track;interp;;9.26;55.5035
556;121;556;556;0;A;55.5035;15.264;track;interp;;9.28;55.5035
557;122;557;557;0;A;55.5035;15.264;track;interp;;9.29;55.5035
558;123;558;558;0;A;55.5035;15.264;track;interp;;9.31;55.5035
559;124;559;559;0;A;55.5035;15.264;track;interp;;9.33;55.5035
560;125;560;560;0;A;55.5035;15.264;track;interp;;9.34;55.5035
561;126;561;561;0;A;55.5035;15.264;track;interp;;9.36;55.5035
562;127;562;562;0;A;55.5035;15.264;track;interp;;9.38;55.5035
563;128;563;563;0;A;55.3381;15.158;track;interp;;9.39;55.3381
564;129;564;564;0;A;55.3381;15.158;track;interp;;9.41;55.3381
565;130;565;565;0;A;55.3381;15.158;track;interp;;9.43;55.3381
566;131;566;566;0;A;55.3381;15.158;track;interp;;9.44;55.3381
567;132;567;567;0;A;55.3381;15.158;track;interp;;9.46;55.3381
568;133;568;568;0;A;55.3381;15.158;track;interp;;9.48;55.3381
569;134;569;569;0;A;55.3381;15.158;track;interp;;9.49;55.3381
570;135;570;570;0;A;55.3381;15.158;track;click;;9.51;55.3381
571;136;571;571;0;A;55.3381;15.158;track;interp;;9.53;55.3381
572;137;572;572;0;A;55.3381;15.158;track;interp;;9.54;55.3381
573;138;573;573;0;A;55.2875;15.1659;track;interp;;9.56;55.2875
574;139;574;574;0;A;55.2875;15.1659;track;interp;;9.58;55.2875
575;140;575;575;0;A;55.2875;15.1659;track;interp;;9.59;55.2875
576;141;576;576;0;A;55.2875;15.1659;track;interp;;9.61;55.2875
577;142;577;577;0;A;55.2875;15.1659;track;interp;;9.63;55.2875
578;143;578;578;0;A;55.2875;15.1659;track;interp;;9.64;55.2875
579;144;579;579;0;A;55.4017;15.2797;track;interp;;9.66;55.4017
580;145;580;580;0;A;55.4017;15.2797;track;interp;;9.68;55.4017
581;146;581;581;0;A;55.4017;15.2797;track;interp;;9.69;55.4017
582;147;582;582;0;A;55.4017;15.2797;track;interp;;9.71;55.4017
583;148;583;583;0;A;55.4017;15.2797;track;interp;;9.73;55.4017
584;149;584;584;0;A;55.3509;15.2875;track;interp;;9.74;55.3509
585;150;585;585;0;A;55.3509;15.2875;track;interp;;9.76;55.3509
586;151;586;586;0;A;55.3509;15.2875;track;interp;;9.78;55.3509
587;152;587;587;0;A;55.3509;15.2875;track;interp;;9.79;55.3509
588;153;588;588;0;A;55.3509;15.2875;track;interp;;9.81;55.3509
589;154;589;589;0;A;55.3509;15.2875;track;interp;;9.83;55.3509
590;155;590;590;0;A;55.3001;15.2954;track;interp;;9.84;55.3001
591;156;591;591;0;A;55.3001;15.2954;track;interp;;9.86;55.3001
592;157;592;592;0;A;55.3001;15.2954;track;interp;;9.88;55.3001
593;158;593;593;0;A;55.3001;15.2954;track;interp;;9.89;55.3001
594;159;594;594;0;A;55.3001;15.2954;track;interp;;9.91;55.3001
595;160;595;595;0;A;55.4147;15.41;track;interp;;9.93;55.4147
596;161;596;596;0;A;55.4147;15.41;track;interp;;9.94;55.4147
597;162;597;597;0;A;55.4147;15.41;track;interp;;9.96;55.4147
598;163;598;598;0;A;55.4147;15.41;track;interp;;9.98;55.4147
599;164;599;599;0;A;55.4147;15.41;track;interp;;9.99;55.4147
600;165;600;600;0;A;55.4147;15.41;track;interp;;10.01;55.4147
601;166;601;601;0;A;55.3637;15.4178;track;interp;;10.03;55.3637
602;167;602;602;0;A;55.3637;15.4178;track;interp;;10.04;55.3637
603;168;603;603;0;A;55.3637;15.4178;track;interp;;10.06;55.3637
604;169;604;604;0;A;55.3637;15.4178;track;interp;;10.08;55.3637
605;170;605;605;0;A;55.3637;15.4178;track;interp;;10.09;55.3637
606;171;606;606;0;A;55.3637;15.4178;track;interp;;10.11;55.3637
607;172;607;607;0;A;55.3127;15.4256;track;interp;;10.13;55.3127
608;173;608;608;0;A;55.3127;15.4256;track;interp;;10.14;55.3127
609;174;609;609;0;A;55.3127;15.4256;track;interp;;10.16;55.3127
610;175;610;610;0;A;55.3127;15.4256;track;interp;;10.18;55.3127
611;176;611;611;0;A;55.3127;15.4256;track;interp;;10.19;55.3127
