idx,x,y,z
8,0.26568463447954765,0.6507872365150685,0.07054248574649927
9,0.17277251427746285,0.47022025727273026,0.12528939240571865
10,0.0812881694105231,0.2951629701912908,0.16193962720021984
10,-0.008826593027536366,0.12532157470273506,0.18107032457284494
11,-0.09760694752831854,-0.03953905791417444,0.18319738981116596
12,-0.18506675293970712,-0.19960217013441622,0.16879136759381988
13,-0.27120036121318447,-0.35500555462667105,0.1382915566042781
14,-0.3559846353694824,-0.5058478685578037,0.09211836997780189
15,-0.43938121679475484,-0.6521949183906012,0.030683848062187033
16,-0.5111003722422293,-0.7729389503702602,0.03371215928887517
17,-0.5747164172090794,-0.8756231615091838,0.07825954930135641
18,-0.6380413176194061,-0.9764597389824831,0.1051553135274802
19,-0.7010179810270933,-1.0753969890770085,0.11474231180265267
20,-0.7635708928500969,-1.1723529299720516,0.10733158179937809
21,-0.553912175908643,-1.2227626996370895,-0.036216149059104634
22,-0.553912175908643,-1.2227626996370895,-0.036216149059104634
23,-0.3533669322347497,-0.8107791868918589,-0.016042797108874195
24,-0.3965930093817444,-0.4523676598366428,0.08061700319732928
25,-0.4158547732887265,-0.10542191868562659,0.13636352900118862
26,-0.414782152612855,0.22789769672084212,0.15315333541780565
27,-0.3967496361735236,0.5456089719111931,0.13292137836639667
28,-0.36492735732790765,0.8459078718356081,0.07762667251423176
29,-0.3180774042020589,1.1312891699811742,0.008735414566626513
30,-0.2226395619132942,1.4346971035942517,0.06989399722416015
31,-0.11422919713907603,1.7219294824801064,0.09200039162262602
32,-0.07147158217231472,1.5877753268986075,0.1357107978324306
33,-0.16234759069217805,1.1878223961372814,0.21133195790189485
34,-0.24101529177825248,0.806699040055973,0.2561938017163416
35,-0.30892433176105777,0.44327209315248134,0.2725684957256988
36,-0.3673161574059335,0.09666126209182108,0.26240386773919844
37,-0.4172684320806377,-0.23381256830695385,0.22739941045890652
38,-0.4597287150600959,-0.5486680910870227,0.16906472699114838
39,-0.49554027264126066,-0.8482966041823923,0.08876495155116386
40,-0.5203578388429484,-1.1361665159425838,0.01012777354652789
41,-0.4994926824669794,-1.4364188053188145,0.085629952557288
42,-0.4742859741806743,-1.7254480437728013,0.13460019473524948
43,-0.4450962704165663,-2.0035305569298396,0.1585119962425428
44,-0.4122556710340472,-2.2708409326190924,0.15866829550996492
45,-0.3760773593669928,-2.527469405591135,0.13624114887850422
46,-0.3368615266318442,-2.773437338929699,0.09230413936922742
47,0.3891148329774552,-2.951863723692832,-0.1349298567162312
48,0.36507311607806814,-2.189415741789887,-0.04926878696693025
49,0.3572535166751387,-1.4994731912375294,-0.004140899632201971
50,0.36472208057224953,-0.8701147004877289,0.007123887807327488
51,0.38245982774137854,-0.29406125871295874,0.004494095736507165
52,0.4069569677987116,0.23595349041290328,-0.0038708286479589623
53,0.4437968654998319,0.7278381932612046,-0.03683513040091585
54,0.4928214949309433,1.1855612853793704,-0.0912931952779774
55,0.5538698250141199,1.6122908769956559,-0.16458831976829544
56,0.6267656606799943,2.0105878343936263,-0.2544052505794645
56,0.943924428293385,2.097332501364789,0.0601183789161529
57,0.5716122240904196,1.493541973152022,0.06894710174177572
59,0.26924212956310956,0.9239265374381324,0.06619578490064769
60,0.026916599778685654,0.38459646776779705,0.05549914102967132
61,-0.1631886465563932,-0.12725676708474468,0.0396729995129772
62,-0.30743265713682566,-0.6136861140878261,0.020928170929168117
63,-0.4111108581211856,-1.0762073609588458,0.001012551705953721
64,-0.4857640763126018,-1.5071848137141886,0.014819081770864162
65,-0.5308842397563985,-1.915883238483609,0.028333966842429736
66,-0.5492396175214584,-2.303651292129709,0.04070366821141483
67,-0.5435655633991033,-2.6711923510079907,0.05273642577594455
68,-0.5163210596372174,-3.0190783761902473,0.06505802984444685
69,-0.46973805633549554,-3.347786566771664,0.07813766439463625
70,-0.637855804541868,-2.5736054115962084,0.47394561676064756
71,-0.7331344622628929,-1.7971858436554995,0.5527362077277648
72,-0.7758195459783781,-1.0914793714448843,0.5589601535509268
73,-0.7714828114267797,-0.45010433207976003,0.5068464949078176
74,-0.7247834514990045,0.13148275548525823,0.40769615489495653
75,-0.6398181709248651,0.6566428558188089,0.270785007814995
76,-0.5203379488525661,1.127980521962347,0.10392821798031521
77,-0.4151632096853052,1.5655319959032679,0.0668018690220745
78,-0.3468399345918703,1.9940866095971153,0.18449063562247256
79,-0.26115561274895466,2.3979485938714493,0.2595263155492327
80,-0.2046896746340216,2.2044089363545316,0.32662984260555505
81,-0.24240679264462933,1.1545312327233264,0.40937077547969625
82,-0.21739260250490255,0.706363711246297,0.4247719894702732
83,-0.17814605762826566,0.28611510049331773,0.40596170511177765
84,-0.12655374624633448,-0.10741143318077749,0.3559025852659397
85,-0.06428772996543092,-0.4751423366473995,0.27718205724230466
86,0.007144196478655968,-0.8178033525471275,0.17210488213907352
87,0.08636200489197339,-1.1359744846810622,0.042761874322763745
88,0.1692210609626245,-1.4797291343222092,0.07950021886941601
89,0.2596594873494456,-1.8249607800614416,0.16427866469721894
90,0.35840368199488587,-2.1520838845729906,0.2180796153396138
91,0.4644605633145738,-2.461579658712743,0.24304646028663054
92,0.576906741577618,-2.7537912791514,0.24105842031137473
93,0.6310451954357366,-2.6112737539046784,0.29474099740120885
94,0.3560983641883762,-1.8480217937976184,0.3478717065262997
95,0.15606456791410833,-1.147074542579097,0.3512471952828387
96,0.014979913384758875,-0.5021900426618904,0.30924499870001504
97,-0.07961839521759437,0.09106162010968585,0.22558533482458487
98,-0.13778795950250583,0.6359360731348597,0.10360043875197883
99,-0.1394818895601118,1.143276488850986,0.041129780478359745
100,-0.05096292179625151,1.6303928019428162,0.13268174518331546
101,0.06441885458249083,2.0825885444081966,0.17054576560982312
102,0.20060568643606472,2.4996161566258945,0.15914389888042058
103,0.3521939410399876,2.8812408427012133,0.10252296237834402
104,0.5142978660425633,3.227300425357501,0.0044870486075284524
105,-0.31444497235610297,3.1220081422336725,0.32188804020172485
106,-0.2469373295516156,2.55485548340517,0.4185268992998115
107,-0.17985056829515614,2.027418537013643,0.46524955487751063
108,-0.1134206824193151,1.5361455022145194,0.46783060320547865
109,-0.04787226804246206,1.0783245794159764,0.43100211350633555
110,0.016577806877994684,0.651863053380094,0.3587367284146704
111,0.07971837100956743,0.2551291448578176,0.25444645956459483
112,0.141343102228979,-0.11316471635986927,0.12112496898695198
112,0.731484156227105,-0.4853956675318174,-0.18220897333640865
113,0.731484156227105,-0.4853956675318174,-0.18220897333640865
113,0.7116521551734767,-0.9144863147763848,-0.05199896903784337
114,0.7116521551734767,-0.9144863147763848,-0.05199896903784337
114,0.7089656629703639,-1.3234675219651129,0.042530394171300154
115,0.7089656629703639,-1.3234675219651129,0.042530394171300154
115,0.7214270956665002,-1.713102332170107,0.10434375952246092
116,0.7214270956665002,-1.713102332170107,0.10434375952246092
117,0.7473142825623214,-2.0839305839789497,0.13593933898945396
117,0.7473142825623214,-2.0839305839789497,0.13593933898945396
118,0.7851116801910438,-2.436320581714719,0.13946142275979448
118,0.7851116801910438,-2.436320581714719,0.13946142275979448
119,0.8334600826814889,-2.7705095608513166,0.11678482302467189
119,0.8334600826814889,-2.7705095608513166,0.11678482302467189
120,1.097673525837871,-3.2258224730835705,0.008841974601298505
121,1.1674461270513852,-3.523528697881923,0.017744089343804847
122,1.253188143184872,-3.7995830122644216,0.019972946292487827
123,0.9970383595473362,-3.471203826781271,0.12471166479600332
124,0.4409629593920812,-2.1274675721909277,0.36550408649791266
125,0.2885559076096225,-1.4351441417218214,0.4063351479062017
126,0.17743827641257234,-0.7998094651420965,0.3848729706443645
127,0.10197285238545585,-0.21663865983585592,0.3105264651526152
128,0.05765407316076575,0.3178888165804662,0.19086265114302434
129,0.04075732468276729,0.806405418251603,0.03216270129014239
130,-0.005279543795252141,1.3179832779909741,0.10837919895733156
131,-0.03890165511903497,1.813395499629741,0.1932723411363714
132,-0.05070707931351934,2.2802110665741377,0.23177828140099963
133,0.5450217162378055,2.711902460092576,0.1176723434773409
134,0.6253188287617497,1.8847535151035866,0.03432605966714903
135,0.22513183139714504,1.1360829426396044,0.0435904412535952
136,-0.08835418204140741,0.4457171126503255,0.04027216114224221
137,-0.3300701735779273,-0.19532131322396812,0.02860161396165722
138,-0.5112425571884597,-0.7934604472336109,0.011710560970196996
139,-0.6431219189722578,-1.3497182932638372,0.006288634552389469
140,-0.7356919331366123,-1.8660497370200189,0.01885945273761929
141,-0.7912402055580644,-2.35109325468662,0.028039502690233403
142,-0.8142155850853066,-2.8070920315506647,0.03521200135987946
143,-0.808423057866191,-3.2358325684893794,0.041462282344071406
144,-0.7771708553665585,-3.638762884901768,0.04763461589111271
145,-0.7233758247046609,-4.017078733787879,0.054374165816938706
146,-1.9500497190165167,-2.206751536476925,0.9139247142627616
147,-1.4407755924139247,-1.548948219395845,0.7181630256431014
148,-1.0371807088184541,-0.9226889680980915,0.540142549699165
149,-0.7211260254085428,-0.32508909191928337,0.38021234788492536
150,-0.4788123915279353,0.24563885209724226,0.23853891621428933
151,-0.2993652204165193,0.7905808323300039,0.11511721266809997
152,-0.1739558158233244,1.3103722629124177,0.009780338252821161
153,-0.06883599589563102,1.7623467351805517,0.0715542101404898
154,0.009515867606822255,2.1833590379409875,0.1503065353800659
155,0.062335179090424374,2.5797730935641403,0.2285850259185522
156,0.09273232884922412,2.952905593348486,0.30677229851559523
157,0.960448353003766,3.32110413322175,0.21091476808165602
158,1.467534858801362,2.7806589219224733,0.09489370195696412
159,1.1783705014056802,2.251635699700482,0.1253345478528642
160,0.942823678357048,1.7481774787034798,0.13349172846851526
161,0.7551627382541245,1.2680697107851062,0.1237167501173031
162,0.61066821464481,0.8097252044396865,0.09956187936376397
163,0.5053525889590017,0.3720125349928413,0.06397201937008039
164,0.4357665355881353,-0.04586584498155169,0.019417238111964732
165,0.3853980263097547,-0.4327803704039587,0.023788742700590358
166,0.35181014637627045,-0.7945882798848022,0.05279291011659454
167,0.3407908661939498,-1.1396889477590306,0.07079664058594354
168,0.35081472495937355,-1.4685410824330891,0.07935880895354377
169,0.3804607705023839,-1.7814789861109552,0.07983730577377843
170,0.42838764281396613,-2.078742808326652,0.07341750832811406
171,0.4933151718127927,-2.360503068242059,0.06113433231639991
172,0.574010990797943,-2.626880739332653,0.04388954641336273
173,0.6692810538070063,-2.8779638187011134,0.022465576182432195
174,0.7779632118583873,-3.1138210491961766,-0.0024632967371028503
175,0.4064036288707986,-2.5490669061112428,0.21046159366251485
176,0.2969482794305592,-1.7968676267780836,0.3610421383043174
177,0.19696256506938362,-1.1117451634170017,0.43645622465149914
178,0.10539978941080877,-0.4851716514949314,0.44846845646165406
179,0.02150703457341641,0.08905919664268497,0.4061434322276789
180,-0.05526891714645774,0.615567193918206,0.316708757022596
181,-0.12534277629549834,1.0978619633721347,0.18610773308929307
182,-0.18903229227909302,1.538664588090249,0.019365350663116752
183,-0.26875600871956595,2.033343965170848,0.12070607462319047
184,-0.3462765151429241,2.509087290356368,0.20872384578570868
