Index,rvec_x,rvec_y,rvec_z,tvec_x,tvec_y,tvec_z,f,error
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,1.533681427310036,-1.5327016831902422,0.9597836960773635,0.0030204798405593677,0.1146298597028001,9.625894103319851,1419.1863264901892,
5,1.530906419677649,-1.5355542831130404,0.9664314978666636,-0.0030626322615681456,0.11525801222747198,10.1498431731146,1504.3813070935348,
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,1.5331837048732664,-1.5326949129493899,0.9605983350440331,0.0015089519018380523,0.11458307018083008,9.664150516060735,1426.5342027088477,
8,1.531332519932247,-1.5348656782398622,0.9652337480705807,-0.0018366352062017543,0.11493289063810827,9.96369929648495,1475.4597050645505,
9,1.5320105385896072,-1.533779886489713,0.9633258719409942,-0.0009148958757914738,0.11473387729099549,9.831029161737682,1454.3561997504937,
10,1.534577822762505,-1.5298106540829461,0.9561545379300398,0.0021110098557338376,0.11421276331519428,9.453745181081647,1393.4535696335977,
11,1.5365321825945264,-1.5273648621554867,0.9511384710589408,-0.0024358031603455596,0.11627879723550008,10.313859920214439,1520.5103857713125,
12,1.534937330847277,-1.5296418216955634,0.9554334846511389,-0.004227323992259729,0.11429897865043158,9.457248241250744,1393.0785288634336,
13,1.5360758845491078,-1.5293154101911677,0.9533300600630641,0.0003828759656045114,0.11602008358565655,10.147421679396334,1494.5229718366377,
14,1.532635857511673,-1.5360145141057746,0.9639517896144524,0.0032909221107498936,0.11533912010657167,9.943369783580119,1466.913027974444,
15,1.5343415679879644,-1.5349795345262176,0.9603848913648603,-0.0031867947143541645,0.11634006427792358,10.274017046228304,1512.7547441140784,
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
